COLOR_NAME,COLOR_HEX,FILTER_COLOR
black,1a1a1a,black
grey,808080,grey
olive,4f631d,green
red,ff0000,red
lightgrey,dedede,grey
white,fafafa,white
beige,ffe091,tan
navy,314685,blue
teal,20c7ab,green
charcoal,454545,grey
brown,916a20,brown
darkbrown,4a2b0b,brown
orange,e89313,orange
sand,bdaf86,tan
seashell,f0d9cc,tan
tomato,ff614d,red
slate,696f80,grey
tan,d9cc96,tan
ivory,f7f3e1,white
army,556b1a,green
cream,fffaf2,white
pine,18c962,green
royal,2337cf,blue
salmon,fc6e5d,red
burgundy,9c341a,red
emerald,2bbd76,green
smoke,f5f5f5,grey
yellow,f5e000,yellow
chocolate,804b12,brown
electric,f0fc00,yellow
denim,4b7eab,blue
cardinal,bf0000,red
cerulean,10a5e6,blue
